Contract,Date,Type,Strike,Last,Bid,Ask,Change,Pct_Change,Vol_and_OI,IV
SPY260402P00629000,3/27/2026 4:14 PM,Put,629.0,6.98,6.85,6.92,4.31,161.42%,14871409,0.3135
SPY260402P00630000,3/27/2026 4:14 PM,Put,630.0,7.36,7.26,7.33,4.22,134.39%,141402028281,0.3128
SPY260402P00631000,3/27/2026 4:14 PM,Put,631.0,7.74,7.68,7.75,4.54,141.88%,41331562,0.312
SPY260402P00632000,3/27/2026 4:14 PM,Put,632.0,8.26,8.12,8.2,4.99,152.60%,29481087,0.3115
SPY260402P00633000,3/27/2026 4:14 PM,Put,633.0,8.67,8.57,8.65,4.9,129.97%,42613998,0.3105
SPY260402P00634000,3/27/2026 4:14 PM,Put,634.0,9.08,9.05,9.13,5.19,133.42%,3097870,0.3099
SPY260402P00635000,3/27/2026 4:14 PM,Put,635.0,9.58,9.54,9.62,5.28,122.79%,7967217525,0.3091
SPY260402P00636000,3/27/2026 4:12 PM,Put,636.0,10.14,10.04,10.13,5.45,116.20%,5726725,0.3084
SPY260402P00637000,3/27/2026 4:12 PM,Put,637.0,10.65,10.56,10.65,5.9,124.21%,3414713,0.3074
SPY260402P00638000,3/27/2026 4:14 PM,Put,638.0,11.26,10.93,11.35,6.76,150.22%,2427899,0.312
SPY260402P00639000,3/27/2026 4:06 PM,Put,639.0,11.59,11.51,11.92,5.04,76.95%,60241546,0.3115
SPY260402P00640000,3/27/2026 4:12 PM,Put,640.0,12.33,12.06,12.47,6.54,112.95%,131539128889,0.3098
SPY260402P00645000,3/27/2026 4:14 PM,Put,645.0,15.43,15.11,15.7,8.15,111.95%,5920566812,0.3094
SPY260402P00650000,3/27/2026 4:13 PM,Put,650.0,19.03,18.7,19.25,9.23,94.18%,2537237689,0.3065
SPY260402P00655000,3/27/2026 4:14 PM,Put,655.0,22.98,22.7,23.2,10.98,91.50%,11903602,0.3059
SPY260402P00660000,3/27/2026 4:13 PM,Put,660.0,27.29,26.93,27.53,13.98,105.03%,23684216,0.3114
SPY260402P00665000,3/27/2026 4:11 PM,Put,665.0,31.94,31.47,32.1,13.47,72.93%,2856734297,0.3209
SPY260402P00670000,3/27/2026 4:02 PM,Put,670.0,36.5,36.24,36.85,13.71,60.16%,92518648,0.3362
